S11, S12, S21, S22 (Re + jIm format)
290.000000000000000000 MHz,-0.87043705111044167300 + j0.49188188875767285824 ,-0.00001842084446500410 + j0.00000406045160439437 ,0.00983813392696570622 - j0.00751389417721985958 ,-0.87204948509622615127 + j0.48900049659437383465 
300.000000000000000000 MHz,-0.86000486576517887194 + j0.50979616417224626890 ,-0.00002352118013063450 + j0.00000550339057030182 ,0.01228321474000190414 - j0.00990918613224856838 ,-0.86187029864529485224 + j0.50661633965000552049 
310.000000000000000000 MHz,-0.84895701362023423542 + j0.52786135777421350213 ,-0.00002989301580483917 + j0.00000742434833229454 ,0.01524238480334299921 - j0.01299587319661228181 ,-0.85110702845230612468 + j0.52436509139534281942 
320.000000000000000000 MHz,-0.83724535384495835100 + j0.54609312713879321066 ,-0.00003783188736666099 + j0.00000997566149685451 ,0.01880569431878454170 - j0.01696050473427570399 ,-0.83971484551845720912 + j0.54226249843987872623 
330.000000000000000000 MHz,-0.82481416778881744278 + j0.56450847185003538709 ,-0.00004770078762595080 + j0.00001335831127575503 ,0.02307530758947254346 - j0.02203913904992209696 ,-0.82764169965866607459 + j0.56032585395551459673 
340.000000000000000000 MHz,-0.81159868908289278799 + j0.58312575405603239709 ,-0.00005994609566478999 + j0.00001783816662384525 ,0.02816591980203798917 - j0.02853107644570474638 ,-0.81482689653679218900 + j0.57857407759064993780 
350.000000000000000000 MHz,-0.79752328351031176457 + j0.60196466769607137604 ,-0.00007511748545296704 + j0.00002376809418753057 ,0.03420445597738875493 - j0.03681676298632043792 ,-0.80119933002225141028 + j0.59702776267069468386 
360.000000000000000000 MHz,-0.78249917862977014238 + j0.62104612520324165015 ,-0.00009389283383718752 + j0.00003161827156218986 ,0.04132851064512047673 - j0.04738127505131387723 ,-0.78667526944053633997 + j0.61570916571546763230 
370.000000000000000000 MHz,-0.76642160954243632176 + j0.64039201384659005800 ,-0.00011710938202697231 + j0.00004201807342182388 ,0.04968265349498855038 - j0.06084532276141095541 ,-0.77115556678300622995 + j0.63464209890870981745 
380.000000000000000000 MHz,-0.74916620058192529008 + j0.66002474794209553544 ,-0.00014580265333705205 + j0.00005581444002186671 ,0.05941118731602657715 - j0.07800645380318260713 ,-0.75452210071926739676 + j0.65385166332923871924 
390.000000000000000000 MHz,-0.73058433738498784749 + j0.67996650223437449245 ,-0.00018125484577206487 + j0.00007415395911835180 ,0.07064506567995081088 - j0.09989419096327678549 ,-0.73663320614000249442 + j0.67336372414414991106 
400.000000000000000000 MHz,-0.71049719134412692156 + j0.70023794624612156756 ,-0.00022505448894061833 + j0.00009859943340701646 ,0.08347923016159167209 - j0.12784432935295828027 ,-0.71731774069960729800 + j0.69320396945920392806 
410.000000000000000000 MHz,-0.68868792634890985127 + j0.72085619287316482495 ,-0.00027916883350132178 + j0.00013129717207471765 ,0.09793421439897492808 - j0.16359973822163614843 ,-0.69636729949594022848 + j0.71339629631015821776 
420.000000000000000000 MHz,-0.66489142746000640116 + j0.74183149820075333647 ,-0.00034602919951813582 + j0.00017521978678145425 ,0.11389178900300273023 - j0.20944800616452105557 ,-0.67352588459593265569 + j0.73396010236920439240 
430.000000000000000000 MHz,-0.63878061558624465999 + j0.76316195196550240532 ,-0.00042862623258022693 + j0.00023452277833279955 ,0.13098744376916685028 - j0.26841044177382938907 ,-0.64847603604008097200 + j0.75490577968030658784 
