"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+008, -6.02746415065E+001, +0.00000000000E+000
+1.04500000000E+008, -4.53324901586E+001, +0.00000000000E+000
+1.09000000000E+008, -8.00329396034E+001, +0.00000000000E+000
+1.13500000000E+008, -6.19410425342E+001, +0.00000000000E+000
+1.18000000000E+008, -7.91922895549E+001, +0.00000000000E+000
+1.22500000000E+008, -7.49556929176E+001, +0.00000000000E+000
+1.27000000000E+008, -6.94534117051E+001, +0.00000000000E+000
+1.31500000000E+008, -7.28758089706E+001, +0.00000000000E+000
+1.36000000000E+008, -7.80770158925E+001, +0.00000000000E+000
+1.40500000000E+008, -8.25742142280E+001, +0.00000000000E+000
+1.45000000000E+008, -7.82926149277E+001, +0.00000000000E+000
+1.49500000000E+008, -7.02134241907E+001, +0.00000000000E+000
+1.54000000000E+008, -7.09454132602E+001, +0.00000000000E+000
+1.58500000000E+008, -7.07490248807E+001, +0.00000000000E+000
+1.63000000000E+008, -9.27390912701E+001, +0.00000000000E+000
+1.67500000000E+008, -5.67319305846E+001, +0.00000000000E+000
+1.72000000000E+008, -5.24160900577E+001, +0.00000000000E+000
+1.76500000000E+008, -4.93963634373E+001, +0.00000000000E+000
+1.81000000000E+008, -5.77884901331E+001, +0.00000000000E+000
+1.85500000000E+008, -7.59806837570E+001, +0.00000000000E+000
+1.90000000000E+008, -7.36041703187E+001, +0.00000000000E+000
+1.94500000000E+008, -5.80040753277E+001, +0.00000000000E+000
+1.99000000000E+008, -6.79927315530E+001, +0.00000000000E+000
+2.03500000000E+008, -6.55218517402E+001, +0.00000000000E+000
+2.08000000000E+008, -6.25159463626E+001, +0.00000000000E+000
+2.12500000000E+008, -6.50228768583E+001, +0.00000000000E+000
+2.17000000000E+008, -7.36026970498E+001, +0.00000000000E+000
+2.21500000000E+008, -8.21665518803E+001, +0.00000000000E+000
+2.26000000000E+008, -7.58848490984E+001, +0.00000000000E+000
+2.30500000000E+008, -7.76270927956E+001, +0.00000000000E+000
+2.35000000000E+008, -6.04417654694E+001, +0.00000000000E+000
+2.39500000000E+008, -7.31506679239E+001, +0.00000000000E+000
+2.44000000000E+008, -6.90179172640E+001, +0.00000000000E+000
+2.48500000000E+008, -7.01772568052E+001, +0.00000000000E+000
+2.53000000000E+008, -6.45028692984E+001, +0.00000000000E+000
+2.57500000000E+008, -8.27294843194E+001, +0.00000000000E+000
+2.62000000000E+008, -7.64852638039E+001, +0.00000000000E+000
+2.66500000000E+008, -7.57301778244E+001, +0.00000000000E+000
+2.71000000000E+008, -6.82589750807E+001, +0.00000000000E+000
+2.75500000000E+008, -7.83726533982E+001, +0.00000000000E+000
+2.80000000000E+008, -6.64195048996E+001, +0.00000000000E+000
