"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, +9.14315669161E-009, +0.00000000000E+000
+1.03300135415E+007, +9.14315669161E-009, +0.00000000000E+000
+1.06600270829E+007, +9.15126831469E-009, +0.00000000000E+000
+1.09900406244E+007, +9.42389161936E-009, +0.00000000000E+000
+1.13200541659E+007, +9.37648748202E-009, +0.00000000000E+000
+1.16500677073E+007, +9.49695835973E-009, +0.00000000000E+000
+1.19800812488E+007, +9.14359956523E-009, +0.00000000000E+000
+1.23100947902E+007, +9.20992126005E-009, +0.00000000000E+000
+1.26401083317E+007, +8.76321968618E-009, +0.00000000000E+000
+1.29701218732E+007, +9.15142985981E-009, +0.00000000000E+000
+1.33001354146E+007, +9.23842395574E-009, +0.00000000000E+000
+1.36849012851E+007, +9.15944982170E-009, +0.00000000000E+000
+1.41365215588E+007, +9.35367338544E-009, +0.00000000000E+000
+1.45881418326E+007, +9.12596653745E-009, +0.00000000000E+000
+1.50397621064E+007, +9.16023008014E-009, +0.00000000000E+000
+1.54913823801E+007, +9.20572587953E-009, +0.00000000000E+000
+1.59430026539E+007, +8.91520371638E-009, +0.00000000000E+000
+1.63946229277E+007, +9.03683868182E-009, +0.00000000000E+000
+1.68462432014E+007, +9.14070946314E-009, +0.00000000000E+000
+1.72978634752E+007, +9.39866394841E-009, +0.00000000000E+000
+1.77494837490E+007, +9.10301881307E-009, +0.00000000000E+000
+1.82011040227E+007, +9.11275072417E-009, +0.00000000000E+000
+1.87276523182E+007, +9.20620861163E-009, +0.00000000000E+000
+1.93456902047E+007, +8.93233440325E-009, +0.00000000000E+000
+1.99637280912E+007, +9.14028196093E-009, +0.00000000000E+000
+2.05817659777E+007, +9.21144196885E-009, +0.00000000000E+000
+2.11998038642E+007, +9.19763489863E-009, +0.00000000000E+000
+2.18178417507E+007, +9.10606767938E-009, +0.00000000000E+000
+2.24358796371E+007, +8.87118607561E-009, +0.00000000000E+000
+2.30539175236E+007, +6.97932871754E-009, +0.00000000000E+000
+2.36719554101E+007, +6.08498183672E-009, +0.00000000000E+000
+2.42899932966E+007, +6.20895603955E-009, +0.00000000000E+000
+2.49080311831E+007, +6.14567036642E-009, +0.00000000000E+000
+2.56286073276E+007, +6.21370147508E-009, +0.00000000000E+000
+2.64871426738E+007, +6.18469843845E-009, +0.00000000000E+000
+2.73456780199E+007, +6.17488875148E-009, +0.00000000000E+000
+2.82042133661E+007, +6.18897046877E-009, +0.00000000000E+000
+2.90627487122E+007, +6.27945743866E-009, +0.00000000000E+000
+2.99212840584E+007, +6.21604451883E-009, +0.00000000000E+000
+3.07798194045E+007, +6.27261475383E-009, +0.00000000000E+000
+3.16383547507E+007, +6.25887072366E-009, +0.00000000000E+000
+3.24968900968E+007, +6.25895506192E-009, +0.00000000000E+000
+3.33554254430E+007, +6.26287048182E-009, +0.00000000000E+000
+3.42139607891E+007, +6.34528270651E-009, +0.00000000000E+000
+3.50724961353E+007, +6.25219717342E-009, +0.00000000000E+000
+3.60871248653E+007, +6.33369194998E-009, +0.00000000000E+000
+3.72780488531E+007, +6.27394037654E-009, +0.00000000000E+000
+3.84689728409E+007, +6.35543644442E-009, +0.00000000000E+000
+3.96598968287E+007, +6.36932018138E-009, +0.00000000000E+000
+4.08508208165E+007, +6.34815662520E-009, +0.00000000000E+000
+4.20417448043E+007, +6.37438507256E-009, +0.00000000000E+000
+4.32326687921E+007, +6.48786606814E-009, +0.00000000000E+000
+4.44235927799E+007, +6.43578457380E-009, +0.00000000000E+000
+4.56145167677E+007, +6.52152132111E-009, +0.00000000000E+000
+4.68054407555E+007, +6.55698939661E-009, +0.00000000000E+000
+4.79963647433E+007, +6.61121261805E-009, +0.00000000000E+000
+4.93848741443E+007, +6.62769315947E-009, +0.00000000000E+000
+5.10146418655E+007, +6.64461317927E-009, +0.00000000000E+000
+5.26444095866E+007, +6.73104642615E-009, +0.00000000000E+000
+5.42741773077E+007, +6.74096473695E-009, +0.00000000000E+000
+5.59039450288E+007, +6.81106802358E-009, +0.00000000000E+000
+5.75337127499E+007, +6.84056922753E-009, +0.00000000000E+000
+5.91634804710E+007, +6.88557423794E-009, +0.00000000000E+000
+6.07932481921E+007, +6.93218330840E-009, +0.00000000000E+000
+6.24230159132E+007, +6.95194359824E-009, +0.00000000000E+000
+6.40527836343E+007, +7.07193980217E-009, +0.00000000000E+000
+6.56825513554E+007, +7.10166258767E-009, +0.00000000000E+000
+6.75827127641E+007, +7.17989902652E-009, +0.00000000000E+000
+6.98130338022E+007, +7.32321670531E-009, +0.00000000000E+000
+7.20433548403E+007, +7.43760701767E-009, +0.00000000000E+000
+7.42736758784E+007, +7.59852393383E-009, +0.00000000000E+000
+7.65039969165E+007, +7.80705565280E-009, +0.00000000000E+000
