"freq
References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(1,2)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,1)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,2)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
28.0000000000000000000 MHz,-0.99878722504344774613 + j0.04923188566986293896 ,-0.00002118057264379714 - j0.00054779082039939906 ,-0.00002118057264379713 - j0.00054779082039939841 ,-0.99960673868246441298 + j0.02803689457140017341 
29.0000000000000000000 MHz,-0.99869615018236801429 + j0.05104530785784568148 ,-0.00002457469602981760 - j0.00061282354604086267 ,-0.00002457469602981758 - j0.00061282354604086321 ,-0.99957669636369039790 + j0.02908697182651435315 
30.0000000000000000000 MHz,-0.99860142167162957438 + j0.05286523325411603830 ,-0.00002838734667845734 - j0.00068333194464043209 ,-0.00002838734667845737 - j0.00068333194464043252 ,-0.99954536660753001698 + j0.03014286557429992144 
31.0000000000000000000 MHz,-0.99850298173061990958 + j0.05469202278189811556 ,-0.00003265776391740597 - j0.00075963975422753426 ,-0.00003265776391740594 - j0.00075963975422753394 ,-0.99951271900883120747 + j0.03120491019835631291 
32.0000000000000000000 MHz,-0.99840076848965930711 + j0.05652605562832793001 ,-0.00003742821987913595 - j0.00084208876576328466 ,-0.00003742821987913600 - j0.00084208876576328520 ,-0.99947872083170552493 + j0.03227345798417897982 
33.0000000000000000000 MHz,-0.99829471567395133835 + j0.05836773076196155596 ,-0.00004274427457418396 - j0.00093104032699529429 ,-0.00004274427457418396 - j0.00093104032699529461 ,-0.99944333681249164503 + j0.03334888061013376037 
34.0000000000000000000 MHz,-0.99818475225424552200 + j0.06021746859070222641 ,-0.00004865505830226054 - j0.00102687698575956916 ,-0.00004865505830226050 - j0.00102687698575956916 ,-0.99940652894114601068 + j0.03443157077671200189 
35.0000000000000000000 MHz,-0.99807080206019838098 + j0.06207571277624658601 ,-0.00005521358474436065 - j0.00113000428873168504 ,-0.00005521358474436059 - j0.00113000428873168460 ,-0.99936825621836855582 + j0.03552194398994495961 
36.0000000000000000000 MHz,-0.99795278335187187491 + j0.06394293222325728165 ,-0.00006247709855807840 - j0.00124085275371822452 ,-0.00006247709855807837 - j0.00124085275371822431 ,-0.99932847438537530937 + j0.03662044051692936453 
37.0000000000000000000 MHz,-0.99783060834411518858 + j0.06581962326387540141 ,-0.00007050746185500335 - j0.00135988003598309947 ,-0.00007050746185500336 - j0.00135988003598309947 ,-0.99928713562277560190 + j0.03772752753380412272 
38.0000000000000000000 MHz,-0.99770418267785832001 + j0.06770631206098819133 ,-0.00007937158458756595 - j0.00148757331187500418 ,-0.00007937158458756593 - j0.00148757331187500462 ,-0.99924418821447535954 + j0.03884370148926925143 
39.0000000000000000000 MHz,-0.99757340483140177767 + j0.06960355725686845352 ,-0.00008914190463012106 - j0.00162445190622559289 ,-0.00008914190463012106 - j0.00162445190622559246 ,-0.99919957617190502397 + j0.03996949070992104197 
40.0000000000000000000 MHz,-0.99743816546378016863 + j0.07151195289754987139 ,-0.00009989692422602138 - j0.00177107019369850561 ,-0.00009989692422602136 - j0.00177107019369850648 ,-0.99915323881313700127 + j0.04110545827736272056 
41.0000000000000000000 MHz,-0.99729834668104588857 + j0.07343213166762169175 ,-0.00011172181051394183 - j0.00192802080857798269 ,-0.00011172181051394177 - j0.00192802080857798204 ,-0.99910511029059323462 + j0.04225220521132978801 
42.0000000000000000000 MHz,-0.99715382121485329758 + j0.07536476847516858368 ,-0.00012470906907312683 - j0.00209593820250107829 ,-0.00012470906907312667 - j0.00209593820250107829 ,-0.99905511906002886224 + j0.04341037399805307978 
43.0000000000000000000 MHz,-0.99700445150107586123 + j0.07731058443246481560 ,-0.00013895930087556567 - j0.00227550259549054012 ,-0.00013895930087556561 - j0.00227550259549053882 ,-0.99900318728226866760 + j0.04458065250889741565 
44.0000000000000000000 MHz,-0.99685008864413671148 + j0.07927035128491467797 ,-0.00015458205474866782 - j0.00246744437249436007 ,-0.00015458205474866782 - j0.00246744437249435964 ,-0.99894923014774439363 + j0.04576377836112070774 
45.0000000000000000000 MHz,-0.99669057125037796574 + j0.08124489634879623889 ,-0.00017169678949039146 - j0.00267254898567443385 ,-0.00017169678949039151 - j0.00267254898567443428 ,-0.99889315511217879884 + j0.04696054378058521495 
46.0000000000000000000 MHz,-0.99652572411096007610 + j0.08323510802787480178 ,-0.00019043396220856741 - j0.00289166243214383691 ,-0.00019043396220856730 - j0.00289166243214383605 ,-0.99883486102972296461 + j0.04817180103565334853 
47.0000000000000000000 MHz,-0.99635535671138886205 + j0.08524194199015590334 ,-0.00021093626236212484 - j0.00312569738801411583 ,-0.00021093626236212500 - j0.00312569738801411626 ,-0.99877423716741597914 + j0.04939846852259673071 
48.0000000000000000000 MHz,-0.99617926154073899170 + j0.08726642809932222411 ,-0.00023336001446945594 - j0.00337564009282890869 ,-0.00023336001446945569 - j0.00337564009282890912 ,-0.99871116208190124919 + j0.05064153759598637866 
49.0000000000000000000 MHz,-0.99599721216874859131 + j0.08930967821115430583 ,-0.00025787677664964849 - j0.00364255809415611320 ,-0.00025787677664964855 - j0.00364255809415611233 ,-0.99864550233578652794 + j0.05190208025314038687 
50.0000000000000000000 MHz,-0.99580896105309224531 + j0.09137289496401236610 ,-0.00028467516724045962 - j0.00392760898081584518 ,-0.00028467516724045989 - j0.00392760898081584431 ,-0.99857711102674495685 + j0.05318125780030825284 
51.0000000000000000000 MHz,-0.99561423703203788538 + j0.09345738171491931034 ,-0.00031396295789988093 - j0.00423205025558997649 ,-0.00031396295789988082 - j0.00423205025558997128 ,-0.99850582609722660088 + j0.05448033065052181045 
52.0000000000000000000 MHz,-0.99541274244899680124 + j0.09556455379970905939 ,-0.00034596947910800133 - j0.00455725052510558455 ,-0.00034596947910800133 - j0.00455725052510558802 ,-0.99843146838626961603 + j0.05580066942975096117 
53.0000000000000000000 MHz,-0.99520414984492877597 + j0.09769595132817422700 ,-0.00038094839317548337 - j0.00490470221692696547 ,-0.00038094839317548326 - j0.00490470221692696287 ,-0.99835383937707233848 + j0.05714376760018434476 
54.0000000000000000000 MHz,-0.99498809814157818110 + j0.09985325376437792499 ,-0.00041918090115948797 - j0.00527603607300743127 ,-0.00041918090115948781 - j0.00527603607300742954 ,-0.99827271858434218910 + j0.05851125584838481192 
55.0000000000000000000 MHz,-0.99476418822252865581 + j0.10203829658994968688 ,-0.00046097946403307594 - j0.00567303771615536735 ,-0.00046097946403307540 - j0.00567303771615536214 ,-0.99818786051349939203 + j0.05990491853335240535 
56.0000000000000000000 MHz,-0.99453197779926394428 + j0.10425309040628207014 ,-0.00050669213575464537 - j0.00609766664410484917 ,-0.00050669213575464547 - j0.00609766664410484917 ,-0.99809899110896260765 + j0.06132671254720905435 
57.0000000000000000000 MHz,-0.99429097542479605298 + j0.10649984290270629594 ,-0.00055670762745457618 - j0.00655207807675558477 ,-0.00055670762745457661 - j0.00655207807675558217 ,-0.99800580359018642440 + j0.06277878901189312688 
58.0000000000000000000 MHz,-0.99404063348658722177 + j0.10878098420529098977 ,-0.00061146124899215501 - j0.00703864816950270245 ,-0.00061146124899215512 - j0.00703864816950269812 ,-0.99790795355079309203 + j0.06426351832225744853 
59.0000000000000000000 MHz,-0.99378033997176662417 + j0.11109919622919613158 ,-0.00067144190820791333 - j0.00756000321362066199 ,-0.00067144190820791420 - j0.00756000321362066373 ,-0.99780505316667045257 + j0.06578351915359884061 
60.0000000000000000000 MHz,-0.99350940874859727803 + j0.11345744679208465133 ,-0.00073720039138381341 - j0.00811905357898387234 ,-0.00073720039138381308 - j0.00811905357898386540 ,-0.99769666432145565071 + j0.06734169218548884117 
61.0000000000000000000 MHz,-0.99322706804576599282 + j0.11585902941426474977 ,-0.00080935920349631176 - j0.00871903332228782593 ,-0.00080935920349631198 - j0.00871903332228781899 ,-0.99758229040993007253 + j0.06894125946109826153 
62.0000000000000000000 MHz,-0.99293244673122837973 + j0.11830760994256669938 ,-0.00088862431752411179 - j0.00936354659495558517 ,-0.00088862431752411266 - j0.00936354659495557996 ,-0.99746136651822692176 + j0.07058581051158779873 
63.0000000000000000000 MHz,-0.99262455788928860567 + j0.12080728140207028232 ,-0.00097579927338305227 - j0.01005662225173748967 ,-0.00097579927338305194 - j0.01005662225173748967 ,-0.99733324759991626163 + j0.07227935664121641623 
64.0000000000000000000 MHz,-0.99230227906098211754 + j0.12336262881961047866 ,-0.00107180218586464438 - j0.01080277840051295860 ,-0.00107180218586464481 - j0.01080277840051295513 ,-0.99719719416286733971 + j0.07402639510747754947 
65.0000000000000000000 MHz,-0.99196432833793357631 + j0.12597880619803100699 ,-0.00117768637668567511 - j0.01160709906863253114 ,-0.00117768637668567468 - j0.01160709906863252941 ,-0.99705235484486687270 + j0.07583198536445381888 
66.0000000000000000000 MHz,-0.99160923526940114581 + j0.12866162838109432287 ,-0.00129466555150659188 - j0.01247532572195768005 ,-0.00129466555150659145 - j0.01247532572195767485 ,-0.99689774507455097829 + j0.07770184009736370856 
67.0000000000000000000 MHz,-0.99123530523588465613 + j0.13141768127748448824 ,-0.00142414471688910040 - j0.01341396710141250573 ,-0.00142414471688910040 - j0.01341396710141250399 ,-0.99673222077182266343 + j0.07964243450383773348 
68.0000000000000000000 MHz,-0.99084057553191851042 + j0.13425445486595458111 ,-0.00156775840060030579 - j0.01443043179599859047 ,-0.00156775840060030666 - j0.01443043179599859220 ,-0.99655444571517182162 + j0.08166113823052612020 
69.0000000000000000000 MHz,-0.99042276084466407404 + j0.13718050466220729766 ,-0.00172741823857149187 - j0.01553318923099215702 ,-0.00172741823857149187 - j0.01553318923099215876 ,-0.99636285075866748429 + j0.08376637563249704488 
70.0000000000000000000 MHz,-0.98997918505484594487 + j0.14020564900372706196 ,-0.00190537267692493300 - j0.01673196642803249923 ,-0.00190537267692493344 - j0.01673196642803251311 ,-0.99615558247017998994 + j0.08596782170038765047 
71.0000000000000000000 MHz,-0.98950669523635836899 + j0.14334121176057665337 ,-0.00210428248650279537 - j0.01803799014988118413 ,-0.00210428248650279363 - j0.01803799014988117372 ,-0.99593043791315727375 + j0.08827664325673328927 
72.0000000000000000000 MHz,-0.98900155226306141198 + j0.14660032313652182623 ,-0.00232731711705798979 - j0.01946428710637583895 ,-0.00232731711705798762 - j0.01946428710637582160 ,-0.99568478110070823828 + j0.09070579808872135386 
73.0000000000000000000 MHz,-0.98845929035485202707 + j0.14999829541755921314 ,-0.00257827880440843335 - j0.02102605910331175471 ,-0.00257827880440843291 - j0.02102605910331174777 ,-0.99541543495243989259 + j0.09327040889497381637 
74.0000000000000000000 MHz,-0.98787453491857979415 + j0.15355309634229263871 ,-0.00286176405473552182 - j0.02274115585430105946 ,-0.00286176405473552442 - j0.02274115585430106640 ,-0.99511854013584188916 + j0.09598823477289422645 
75.0000000000000000000 MHz,-0.98724076371207336589 + j0.15728595093941208360 ,-0.00318337608218268028 - j0.02463067638141698545 ,-0.00318337608218268115 - j0.02463067638141697505 ,-0.99478936859281852367 + j0.09888027119913656016 
76.0000000000000000000 MHz,-0.98654998997139553563 + j0.16122211430573932245 ,-0.00355000762629523962 - j0.02671974161699444683 ,-0.00355000762629523701 - j0.02671974161699445377 ,-0.99442207423312289905 + j0.10197152117953155182 
77.0000000000000000000 MHz,-0.98579233655337872300 + j0.16539187458303872269 ,-0.00397022238191621635 - j0.02903849770178376297 ,-0.00397022238191621375 - j0.02903849770178375603 ,-0.99400935524380551467 + j0.10529199719473349151 
78.0000000000000000000 MHz,-0.98495545549274510222 + j0.16983186999401411743 ,-0.00445477677133006289 - j0.03162343424317513169 ,-0.00445477677133006202 - j0.03162343424317509005 ,-0.99354199011034960431 + j0.10887803845657381685 
79.0000000000000000000 MHz,-0.98402372453493203164 + j0.17458684046281189306 ,-0.00501734488879434712 - j0.03451913874763405665 ,-0.00501734488879434278 - j0.03451913874763406359 ,-0.99300819006619545082 + j0.11277406515616593408 
80.0000000000000000000 MHz,-0.98297711583237712407 + j0.17971198998346282760 ,-0.00567554315693284857 - j0.03778066457752505408 ,-0.00567554315693284857 - j0.03778066457752504020 ,-0.99239267961906030280 + j0.11703494791067974024 
81.0000000000000000000 MHz,-0.98178957266736199827 + j0.18527622200842341904 ,-0.00645240638866748789 - j0.04147677677592731538 ,-0.00645240638866747922 - j0.04147677677592731538 ,-0.99167536578671267034 + j0.12172925832298912840 
82.0000000000000000000 MHz,-0.98042663072528801749 + j0.19136664629555807937 ,-0.00737855960618506983 - j0.04569447787630147306 ,-0.00737855960618507157 - j0.04569447787630148694 ,-0.99082937065432530321 + j0.12694380567205298949 
83.0000000000000000000 MHz,-0.97884184915287930639 + j0.19809497611236182024 ,-0.00849549027648451201 - j0.05054543926980443330 ,-0.00849549027648451548 - j0.05054543926980447494 ,-0.98981805247956933247 + j0.13279009074301115212 
84.0000000000000000000 MHz,-0.97697131143513760154 + j0.20560680098760641954 ,-0.00986061225580089559 - j0.05617533574702349153 ,-0.00986061225580091467 - j0.05617533574702351928 ,-0.98859037243257164018 + j0.13941368481350380204 
85.0000000000000000000 MHz,-0.97472489184045063570 + j0.21409534631229490409 ,-0.01155534461389574191 - j0.06277771837916676367 ,-0.01155534461389576099 - j0.06277771837916670816 ,-0.98707346450793909121 + j0.14700818939860002543 
86.0000000000000000000 MHz,-0.97197189513586634835 + j0.22382243510537222497 ,-0.01369845795874885530 - j0.07061518858607289395 ,-0.01369845795874883795 - j0.07061518858607292171 ,-0.98516029526763271296 + j0.15583658113131496070 
87.0000000000000000000 MHz,-0.96851647593223955113 + j0.23515138077884187306 ,-0.01646903195548431870 - j0.08005270109152724800 ,-0.01646903195548427706 - j0.08005270109152724800 ,-0.98268831947477675026 + j0.16626485738796092928 
88.0000000000000000000 MHz,-0.96405353547021266358 + j0.24860034633608746324 ,-0.02014785925219760368 - j0.09161174769926858086 ,-0.02014785925219746490 - j0.09161174769926853922 ,-0.97940076421895405634 + j0.17881693012231139606 
89.0000000000000000000 MHz,-0.95808504560810747730 + j0.26493216788783924276 ,-0.02519642984715942877 - j0.10606192400346935167 ,-0.02519642984715957448 - j0.10606192400346932392 ,-0.97487232833594106296 + j0.19426773186636256407 
90.0000000000000000000 MHz,-0.94975025373081567448 + j0.28531173463193382212 ,-0.03241814284253338729 - j0.12458223643124106961 ,-0.03241814284253339423 - j0.12458223643124106961 ,-0.96835656739695985529 + j0.21380806523517451034 
91.0000000000000000000 MHz,-0.93745160232436353098 + j0.31159283095800821561 ,-0.04331573099890818207 - j0.14905753400310850498 ,-0.04331573099890816125 - j0.14905753400310856049 ,-0.95844522517248920135 + j0.23934984718816701421 
92.0000000000000000000 MHz,-0.91794179973855993815 + j0.34685433572162022164 ,-0.06096970899537314248 - j0.18264067638088452017 ,-0.06096970899537309391 - j0.18264067638088443690 ,-0.94222470391814294732 + j0.27411254119890338110 
93.0000000000000000000 MHz,-0.88378973928546145089 + j0.39635480750218160528 ,-0.09249683639420804016 - j0.23078756153811191831 ,-0.09249683639420799852 - j0.23078756153811197382 ,-0.91289506327593661350 + j0.32373452108599604093 
94.0000000000000000000 MHz,-0.81513822189961637754 + j0.46840158995165365186 ,-0.15713060352071295256 - j0.30242288796701721765 ,-0.15713060352071286929 - j0.30242288796701721765 ,-0.85185995933501146293 + j0.39772475401043122512 
95.0000000000000000000 MHz,-0.64860614442075270603 + j0.56391864182698070440 ,-0.31722474858903565442 - j0.40084198096292505964 ,-0.31722474858903532136 - j0.40084198096292444902 ,-0.69786616155224523439 + j0.50167418285245346521 
96.0000000000000000000 MHz,-0.20930195820911812188 + j0.51004410119045306971 ,-0.75143906927650472305 - j0.36247348909335797007 ,-0.75143906927650483407 - j0.36247348909335808109 ,-0.26889432543529756536 + j0.48129838626162491089 
97.0000000000000000000 MHz,-0.12067347209873391378 - j0.26736746866480332052 ,-0.86770179902257171811 + j0.40130554170657117830 ,-0.86770179902257194016 + j0.40130554170657128932 ,-0.12558651046834778953 - j0.26509522545110464353 
98.0000000000000000000 MHz,-0.67138275412098802342 - j0.38552091428900708836 ,-0.32981825163707678694 + j0.54022101310643877436 ,-0.32981825163707678694 + j0.54022101310643855232 ,-0.64970141350579835304 - j0.42103355112613377598 
99.0000000000000000000 MHz,-0.86834006645752082054 - j0.24490013792818798866 ,-0.13040176049949739334 + j0.41110197309905277541 ,-0.13040176049949750436 + j0.41110197309905255336 ,-0.85073792423645222538 - j0.30039229823440899425 
100.000000000000000000 MHz,-0.93449329814487669399 - j0.14647729405689111082 ,-0.06132541812937573195 + j0.31859986054507200004 ,-0.06132541812937578052 + j0.31859986054507222208 ,-0.92209552910691083838 - j0.21088659785051314111 
101.000000000000000000 MHz,-0.96170389409982282025 - j0.08317810707038461593 ,-0.03190001656142424369 + j0.25920920415912135359 ,-0.03190001656142427144 + j0.25920920415912140911 ,-0.95317517635582615920 - j0.15247970554016490596 
102.000000000000000000 MHz,-0.97469695386244692425 - j0.04013143777307206367 ,-0.01722782644417391110 + j0.21922253038760139421 ,-0.01722782644417389375 + j0.21922253038760133870 ,-0.96900067848498117051 - j0.11261602577836181405 
103.000000000000000000 MHz,-0.98153902726689212788 - j0.00909538624785454809 ,-0.00905833907085779218 + j0.19083070610948058010 ,-0.00905833907085782514 + j0.19083070610948063561 ,-0.97798729188568767068 - j0.08391927674338713061 
104.000000000000000000 MHz,-0.98537085528083367958 + j0.01438663089975619758 ,-0.00413220727647336909 + j0.16976521221232870884 ,-0.00413220727647337083 + j0.16976521221232879211 ,-0.98350399297183610514 - j0.06231045974779760022 
105.000000000000000000 MHz,-0.98758962321093723968 + j0.03285458041231820170 ,-0.00097848264207176959 + j0.15357849863743708307 ,-0.00097848264207177609 + j0.15357849863743708307 ,-0.98709081844349622070 - j0.04543570702144690554 
106.000000000000000000 MHz,-0.98888257382955513375 + j0.04784124247913965067 ,0.00113704511403024179 + j0.14078770479944338612 ,0.00113704511403022921 + j0.14078770479944335836 ,-0.98952628997813274481 - j0.03186299966772986048 
107.000000000000000000 MHz,-0.98961498500326028349 + j0.06031958902060054889 ,0.00261059081015368143 + j0.13044889211106724947 ,0.00261059081015368967 + j0.13044889211106722171 ,-0.99123593985551006202 - j0.02067807779704884663 
108.000000000000000000 MHz,-0.98999325754876399408 + j0.07093436721602017214 ,0.00366962526838028342 + j0.12193522627214287146 ,0.00366962526838030120 + j0.12193522627214296861 ,-0.99246726188625622456 - j0.01127246771334091541 
