"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -9.48947868902E+000, +0.00000000000E+000
+1.03300135415E+007, -1.05715719840E+001, +0.00000000000E+000
+1.06600270829E+007, -1.16663253311E+001, +0.00000000000E+000
+1.09900406244E+007, -1.27773066366E+001, +0.00000000000E+000
+1.13200541659E+007, -1.38964534883E+001, +0.00000000000E+000
+1.16500677073E+007, -1.50251809828E+001, +0.00000000000E+000
+1.19800812488E+007, -1.61186376638E+001, +0.00000000000E+000
+1.23100947902E+007, -1.72134147896E+001, +0.00000000000E+000
+1.26401083317E+007, -1.82660971133E+001, +0.00000000000E+000
+1.29701218732E+007, -1.93428960914E+001, +0.00000000000E+000
+1.33001354146E+007, -2.04412785253E+001, +0.00000000000E+000
+1.36849012851E+007, -2.17013070118E+001, +0.00000000000E+000
+1.41365215588E+007, -2.32231308707E+001, +0.00000000000E+000
+1.45881418326E+007, -2.47189428369E+001, +0.00000000000E+000
+1.50397621064E+007, -2.62007687967E+001, +0.00000000000E+000
+1.54913823801E+007, -2.76938804231E+001, +0.00000000000E+000
+1.59430026539E+007, -2.91369682699E+001, +0.00000000000E+000
+1.63946229277E+007, -3.06144818867E+001, +0.00000000000E+000
+1.68462432014E+007, -3.21083545556E+001, +0.00000000000E+000
+1.72978634752E+007, -3.36258362079E+001, +0.00000000000E+000
+1.77494837490E+007, -3.51156937558E+001, +0.00000000000E+000
+1.82011040227E+007, -3.66053821455E+001, +0.00000000000E+000
+1.87276523182E+007, -3.83280572158E+001, +0.00000000000E+000
+1.93456902047E+007, -4.03203485175E+001, +0.00000000000E+000
+1.99637280912E+007, -4.23540587897E+001, +0.00000000000E+000
+2.05817659777E+007, -4.44073303415E+001, +0.00000000000E+000
+2.11998038642E+007, -4.64377471620E+001, +0.00000000000E+000
+2.18178417507E+007, -4.84823137974E+001, +0.00000000000E+000
+2.24358796371E+007, -5.04852883273E+001, +0.00000000000E+000
+2.30539175236E+007, -5.20094848857E+001, +0.00000000000E+000
+2.36719554101E+007, -5.33900566202E+001, +0.00000000000E+000
+2.42899932966E+007, -5.47580725859E+001, +0.00000000000E+000
+2.49080311831E+007, -5.61316383165E+001, +0.00000000000E+000
+2.56286073276E+007, -5.77225506379E+001, +0.00000000000E+000
+2.64871426738E+007, -5.96346665537E+001, +0.00000000000E+000
+2.73456780199E+007, -6.15587177976E+001, +0.00000000000E+000
+2.82042133661E+007, -6.34753373537E+001, +0.00000000000E+000
+2.90627487122E+007, -6.54066020323E+001, +0.00000000000E+000
+2.99212840584E+007, -6.73334691469E+001, +0.00000000000E+000
+3.07798194045E+007, -6.92767992676E+001, +0.00000000000E+000
+3.16383547507E+007, -7.12209664504E+001, +0.00000000000E+000
+3.24968900968E+007, -7.31617769515E+001, +0.00000000000E+000
+3.33554254430E+007, -7.50955583027E+001, +0.00000000000E+000
+3.42139607891E+007, -7.70412048717E+001, +0.00000000000E+000
+3.50724961353E+007, -7.89856203256E+001, +0.00000000000E+000
+3.60871248653E+007, -8.12739372388E+001, +0.00000000000E+000
+3.72780488531E+007, -8.39919479819E+001, +0.00000000000E+000
+3.84689728409E+007, -8.67143992523E+001, +0.00000000000E+000
+3.96598968287E+007, -8.94171809538E+001, +0.00000000000E+000
+4.08508208165E+007, -9.21706016722E+001, +0.00000000000E+000
