"freq
References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(1,2)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,1)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,2)
References : []
Dependency : [freq]
Num. Points : [1000]
Matrix Size : scalar
46.0000000000000000000 MHz,-0.99070961784370092928 + j0.02701316158261616099 ,-0.00000466588598561986 - j0.00000386524016722312 ,-0.00000466588598561986 - j0.00000386524016722312 ,-0.99070961784370092928 + j0.02701316158261616446 
47.0000000000000000000 MHz,-0.99068864660195643523 + j0.02760553886636983242 ,-0.00000488759717928904 - j0.00000418452317083964 ,-0.00000488759717928904 - j0.00000418452317083963 ,-0.99068864660195643523 + j0.02760553886636983936 
48.0000000000000000000 MHz,-0.99066720827489562762 + j0.02819824939855764337 ,-0.00000511507288988116 - j0.00000451925501232582 ,-0.00000511507288988116 - j0.00000451925501232581 ,-0.99066720827489562762 + j0.02819824939855765031 
49.0000000000000000000 MHz,-0.99064530182048016194 + j0.02879130048150407850 ,-0.00000534837884785286 - j0.00000486979353808169 ,-0.00000534837884785285 - j0.00000486979353808169 ,-0.99064530182048016194 + j0.02879130048150407850 
50.0000000000000000000 MHz,-0.99062292617314173793 + j0.02938469943109004237 ,-0.00000558758239506747 - j0.00000523649848222667 ,-0.00000558758239506747 - j0.00000523649848222667 ,-0.99062292617314173793 + j0.02938469943109003890 
51.0000000000000000000 MHz,-0.99060008024367995905 + j0.02997845357705340719 ,-0.00000583275249964951 - j0.00000561973151087976 ,-0.00000583275249964951 - j0.00000561973151087976 ,-0.99060008024367995905 + j0.02997845357705341066 
52.0000000000000000000 MHz,-0.99057676291915797151 + j0.03057257026329045918 ,-0.00000608395977121187 - j0.00000601985626675734 ,-0.00000608395977121187 - j0.00000601985626675734 ,-0.99057676291915797151 + j0.03057257026329045918 
53.0000000000000000000 MHz,-0.99055297306279566083 + j0.03116705684815874663 ,-0.00000634127647646027 - j0.00000643723841409619 ,-0.00000634127647646027 - j0.00000643723841409619 ,-0.99055297306279566083 + j0.03116705684815874663 
54.0000000000000000000 MHz,-0.99052870951386018383 + j0.03176192070478095486 ,-0.00000660477655517916 - j0.00000687224568390934 ,-0.00000660477655517915 - j0.00000687224568390934 ,-0.99052870951386018383 + j0.03176192070478096874 
55.0000000000000000000 MHz,-0.99050397108755472431 + j0.03235716922135004753 ,-0.00000687453563660377 - j0.00000732524791958267 ,-0.00000687453563660377 - j0.00000732524791958267 ,-0.99050397108755472431 + j0.03235716922135004059 
56.0000000000000000000 MHz,-0.99047875657490369594 + j0.03295280980143569516 ,-0.00000715063105618304 - j0.00000779661712282018 ,-0.00000715063105618304 - j0.00000779661712282019 ,-0.99047875657490369594 + j0.03295280980143568822 
57.0000000000000000000 MHz,-0.99045306474263683505 + j0.03354884986429188670 ,-0.00000743314187273789 - j0.00000828672749994569 ,-0.00000743314187273789 - j0.00000828672749994569 ,-0.99045306474263683505 + j0.03354884986429187976 
58.0000000000000000000 MHz,-0.99042689433306962954 + j0.03414529684516590807 ,-0.00000772214888602018 - j0.00000879595550856917 ,-0.00000772214888602018 - j0.00000879595550856917 ,-0.99042689433306962954 + j0.03414529684516590807 
59.0000000000000000000 MHz,-0.99040024406398219359 + j0.03474215819560860091 ,-0.00000801773465467699 - j0.00000932467990462578 ,-0.00000801773465467699 - j0.00000932467990462578 ,-0.99040024406398219359 + j0.03474215819560860091 
60.0000000000000000000 MHz,-0.99037311262849458959 + j0.03533944138378600219 ,-0.00000831998351462564 - j0.00000987328178979582 ,-0.00000831998351462564 - j0.00000987328178979582 ,-0.99037311262849458959 + j0.03533944138378600219 
61.0000000000000000000 MHz,-0.99034549869494092889 + j0.03593715389479235772 ,-0.00000862898159784460 - j0.00001044214465931391 ,-0.00000862898159784460 - j0.00001044214465931391 ,-0.99034549869494092889 + j0.03593715389479236466 
62.0000000000000000000 MHz,-0.99031740090673925359 + j0.03653530323096448179 ,-0.00000894481685158557 - j0.00001103165445017568 ,-0.00000894481685158558 - j0.00001103165445017568 ,-0.99031740090673936461 + j0.03653530323096447485 
63.0000000000000000000 MHz,-0.99028881788226086336 + j0.03713389691219760175 ,-0.00000926757905801268 - j0.00001164219958975053 ,-0.00000926757905801268 - j0.00001164219958975053 ,-0.99028881788226086336 + j0.03713389691219760175 
64.0000000000000000000 MHz,-0.99025974821469497922 + j0.03773294247626272219 ,-0.00000959735985427391 - j0.00001227417104480919 ,-0.00000959735985427391 - j0.00001227417104480920 ,-0.99025974821469497922 + j0.03773294247626272219 
65.0000000000000000000 MHz,-0.99023019047191185305 + j0.03833244747912528672 ,-0.00000993425275301097 - j0.00001292796237097432 ,-0.00000993425275301097 - j0.00001292796237097432 ,-0.99023019047191185305 + j0.03833244747912528672 
66.0000000000000000000 MHz,-0.99020014319632376765 + j0.03893241949526560219 ,-0.00001027835316331341 - j0.00001360396976260337 ,-0.00001027835316331341 - j0.00001360396976260337 ,-0.99020014319632376765 + j0.03893241949526560219 
